name,description,price,price_per_unit,category
COLAVITA BALSAMIC VINEGAR,17 Oz. Btl.,4.99,,Dairy
FINISH JET DRY 8.45 Oz. Btl,or Orange Dish Gel (75 Oz.),5.99,,Cleaning & Laundry
"PURPLE BEAUTY EGGPLANT Red Ripe, PLUM TOMATOES",None,1.49,lb.,Produce
DOLE TEEN SPINACH 8 Oz Bag GIORGIO MUSHROOMS 8 Oz. Pkg.,Sliced Baby Bella,5.00,,Grocery
OLIVIA'S ORGANICS SALADS,"Assorted Varieties

5 Oz. Pkg.",3.99,,Frozen
SSIPS DRINKS,59 Oz. Cntrs,3.00,,Snacks & Beverage
CAFE BUSTELO,"Original

6 Oz. Brkpks.",3.99,,Snacks & Beverage
WHOLE CHICKEN LEGS,"Grade ""A""",1.69,LB.,Fresh Meat & Deli
HAAGEN-DAZS SORBET OR ICE CREAM,14 Oz. Cntrs.,3.99,,Frozen
KRASDALE ICE CREAM,"Assorted Varieties

1.5 Qt. Cntrs.",2.99,,Dairy
KRASDALE SPRINKLES,"Chocolate or Rainbow

3.25 Oz. Jar",1.99,,Grocery
TROPICANA pure premium ORANGE JUICE,"or Ruby Red Grapefruit, Light

46 Oz. Btl.",3.99,,Snacks & Beverage
4C ICED TEA MIX,"Makes 35 Qts.: Peach, Raspberry or Lemon

82.6 Oz. Cnstr.",7.99,,Snacks & Beverage
TURKEY HILL ICED TEA,"or Lemonade, Fruit Punch

1/2 Gal. Btl.",4.00,,Snacks & Beverage
MORNING STAR FARMS VEGETARIAN MEALS,"Assorted Varieties
5.2-12 Oz. Pkgs.",3.99,,Fresh Meat & Deli
HELLMANN'S MAYONNAISE,30 Oz. Jar,5.99,,Sauces and Spices
NABISCO CHIPS AHOY! COOKIES,"Assorted Varieties
7-13 Oz. Pkg.",7.00,,Snacks & Beverage
"MAZOLA CORN PLUS, VEGETABLE PLUS, CANOLA, OR CORN OIL","96 Oz. Btl.

With Add'l $25 Purchase",8.99,,Grocery
BEN & JERRY'S ICE CREAM 1 Pt. Cntrs,Cookie Dough Smack (8 Oz. Pkg.); Sundae (14.4 Oz.); Topped (15.2 Oz.); Non Dairy or,3.99,,Dairy
BANQUET CLASSIC DINNERS,"4.85 11.88 Oz, Boxes",4.00,,Snacks & Beverage
FRIENDSHIP SOUR CREAM,16 Oz. Cntrs.,5.00,,Dairy
PERDUE CHICKEN DRUMSTICKS,"U.S.D.A. Grade ""A"", No Antibiotics Added Ever",1.69,LB.,Meat & Seafood
CHICKEN GIZZARDS,U.S.D.A. Inspected,1.59,LB.,Fresh Meat & Deli
GOAT MEAT,None,5.99,lb.,Fresh Meat & Deli
MOTT'S JUICE,"Assorted Varieties
64 Oz. Btls",7.00,,Grocery
MARINOS ITALIAN ICES,6 Pk. 36 Oz. Boxes,6.00,,Frozen
CONDAL EVAPORATED MILK,12 Oz. Can,5.00,,Dairy
DANIMALS YOGURT DRINKS,"Assorted Varieties
6 Pk. 3.1 Oz. Btls",6.00,,Dairy
EGGO WAFFLES,"Buttermilk Pancakes; or Assorted Varieties

23.2-29.6 Oz. Box",5.99,,Bakery
BLUE BONNET SPREAD,45 Oz. Cntr.,3.99,,Snacks & Beverage
KRASDALE 1000 TISSUE,Bathroom 20 Roll Pkg.,11.99,,Household Needs
DOMINO SUGAR,"Granulated

4 lb. Bag",3.99,,Grocery
EDY'S ICE CREAM,"Assorted Varieties
1.5 Qt. Cntrs.",3.99,,Dairy
CHOBANI GREEK YOGURT,"Assorted Varieties

5.3 Oz. Cups",5.00,,Dairy
