name,description,price,price_per_unit,category
PURE LEAF ICED TEA,"Raspberry, Unsweetened or Sweet w/Lemon

64 Oz. Btls.",2.99,,Snacks & Beverage
"BREAKSTONE'S WHIPPED BUTTER, 8 Oz. Cntrs.","or Spreadable w/Canola Oil (Cntr.);
Salted or Unsalted: Quarters (Pkg.);",7.00,,Dairy
HOOD COTTAGE CHEESE,"Assorted Varieties
16 Oz. Cntr.",7.00,,Dairy
KRASDALE LEMONADE,"Raspberry or Original
52 Oz. Btl.",2.19,,Snacks & Beverage
FRIENDSHIP SOUR CREAM,16 Oz. Cntrs.,5.00,,Dairy
CACIQUE QUESO FRESCO 10 Oz. Pkg,Shredded Queso Quesadilla (7 Oz.); or Part Skim,6.00,,Grocery
POLLY-O FRESH MOZZARELLA BALL,"or Sliced Log

8 Oz. Pkg.",3.99,,Dairy
DAISY 4% COTTAGE CHEESE,2 Pk. 5.3 Oz. Cups,1.99,,Dairy
KRASDALE ONION RINGS,16 Oz. Bag,6.00,,Snacks & Beverage
KRASDALE MINI CORN ON THE COB,12 Ct. Pkgs.,4.99,,Frozen
SCHWEPPES SELTZER,"2 Ltr. Btls.
Regular or Diet: Crush, Dr. Brown's, Country Time, Ginger Ale or",5.00,,Snacks & Beverage
KOZY SHACK PUDDING,Assorted Varieties 22 Oz. Cntr.,3.99,,Bakery
DANNON YOGURT,"Assorted Varieties
32 Oz. Cntr.",7.00,,Dairy
KRASDALE VEGETABLE BLENDS,"Asian, Country or
California
14 Oz. Bag",4.00,,Produce
KRAFT DELUXE MAC & CHEESE,"4 Cheese or Original

12 oz. box",7.00,,Grocery
NUOVO RAVIOLI RAVIOLI,None,4.99,,Grocery
HANS KISSLE AEGEAN GREEK PASTA SALAD,None,6.99,lb.,Grocery
CARROTS BEETS Bunch,"California, Fresh",5.00,,Produce
BLACKBERRIES,"Fresh
6 Oz. Pkg.",5.00,,Produce
SAINT ANDRE TRIPLE CREME BRIE,7 Oz. Cntr.,9.99,,Grocery
MANGOES,"Imported ,Size 10",5.00,,Produce
"""MINI SWEET"" PEPPERS",1 lb. Pkg.,4.99,,Produce
ZESPRI SUNGOLD KIWI,1 lb. Clamshell,5.99,,Produce
SIMPLY POTATOES MASHED MASHED,"Sour Cream/Chives, Garlic or Plain
24 Oz. Pkgs.",3.49,,Grocery
"YELLOW, BI-COLORED CORN",Sweet,2.99,,Produce
"TREE RIPE PEACHES, NECTARINES","California

Tray Pack",2.99,LB.,Produce
PLUOTS,California; Assorted Varieties,2.99,lb.,Produce
SEEDLESS WATERMELON QUARTER CUTS,"Sweet, Size 45 or 60",0.59,LB.,Produce
"WHOLLY GUACAMOLE BOWLS, AVOCADO DIP","Assorted Varieties
7.5 Oz. Pkg.",3.99,,Grocery
BOAR'S HEAD HUMMUS,"Assorted Varieties

8-10 Oz. Cntr.",7.00,,Grocery
HASS AVOCADOS,"Imported, Size 48",5.00,,Produce
YELLOW BANANAS,None,0.99,LB.,Produce
FAGE ALL NATURAL SOUR CREAM,8 Oz. Cntr.,3.00,,Dairy
CHOBANI GREEK YOGURT,"or Flip, Zero Sugar, Less Sugar

4 Pk. 4.5-5.3 Oz. Cups",4.99,,Dairy
WHOLE PORK SHOULDER,"Fresh Lean, Twin Pack",1.69,LB.,Fresh Meat & Deli
TOMAHAWK STEAK,U.S.D.A. Choice Beef,19.99,LB.,Fresh Meat & Deli
TOTINO'S PIZZA ROLLS,Assorted Varieties 50 Ct. Pkg.,6.99,,Snacks & Beverage
MEDIUM EGGS,"Grade ""A"" Dozen",6.00,,Meat & Seafood
GREEN GIANT JUMBO IDAHO POTATOES,4 Ct. Tray,2.99,,Produce
FAGE CREAMY DREAMY YOGURT,"Assorted Varieties
4.4 Oz. Cup",5.00,,Dairy
PREGO PASTA SAUCE,"Assorted Varieties

14.5-24 Oz. Jar",2.99,,Sauces and Spices
GOOD 2 GROW JUICE,"Assorted Varieties

6 Oz. Btl.",2.99,,Snacks & Beverage
WHOLE PORK SHOULDER,"Fresh Lean, Single Pack",1.89,LB.,Fresh Meat & Deli
NUTELLA HAZELNUT SPREAD,35.3 Oz. Jar,10.99,,Grocery
"TAMPICO BLUE RASPBERRY, TROPICAL PUNCH OR CITRUS PUNCH",15 Pk. 10 Oz. Btls.,5.99,,Snacks & Beverage
LAND O LAKES MARGARINE,"Quarters
16 Oz. Pkg.",2.99,,Dairy
ATHENOS CRUMBLED FETA CHEESE,4 Oz. Pkg.,3.49,,Dairy
QUE GUSTO COTIJA CHEESE,Fresco or Blanco Block (10 Oz. Pkg.); or 5 Oz. Cup,4.99,,Dairy
GREEN COOKING BANANAS,None,0.59,LB.,Produce
MANGOS,"Imported, Size 10",5.00,,Produce
"YELLOW, RED, YELLOW ONIONS",2 lb. Bag,4.00,,Produce
ON-COR ENTREES,"Assorted Varieties
24-26 Oz. Boxes",3.99,,Fresh Meat & Deli
CARANDO MEATBALLS,"Sicilian Hot, Abruzzese or Mozzarella Rustica

16 Oz. Pkg.",6.49,,Meat & Seafood
BUMBLE BEE CHUNK LIGHT TUNA,"In Oil or Water
3 Pk. 3 Oz. Cans",3.99,,Meat & Seafood
TANG ORANGE DRINK MIX 58.9 Oz. Cnstr.,(Makes 26 Qts. 63 Oz.): Country Time Lemonade or Pink Lemonade; Kool - Aid Cherry or Tropical Punch; or Makes 18 Qts.,11.99,,Snacks & Beverage
BARILLA AL BRONZO PASTA,"Assorted Varieties

16 Oz. Boxes",5.00,,Grocery
NABISCO TEDDY GRAHAMS,"Assorted Varieties

10 Oz. Box",2.99,,Snacks & Beverage
SPAM LUNCHEON MEAT,"Assorted Varieties

12 Oz. Cans",3.99,,Canned Foods
FOOD CLUB CINNAMON ROLLS,12.4 Oz. Tube,6.00,,Grocery
TYSON CHICKEN NUGGETS,"or Patties, Tenders

23-29 Oz. Pkg.",7.99,,Fresh Meat & Deli
SUGAR IN THE RAW,100 Ct. Box,3.49,,Grocery
THOMAS' 6PK ENGLISH MUFFINS,(ORIGINAL ONLY) 12 Oz. Pkg.,2.99,,Snacks & Beverage
"ROASTED POBLANO, CILANTRO LIME, CREAMY CHIPOTLE OR GUACAMOLE HERDEZ SALSA 15.3-15.7 OZ. JAR, DONA MARIA TRADITONAL MOLE 8.25 OZ. JAR",None,3.69,,Grocery
GOYA CUBITOS EN POLVO ECONO PAK,7.05 Oz. Pkg.,6.00,,Grocery
DOVE BODY WASH,"Assorted Varieties

12-13.5 Oz. Btl.",6.99,,Personal & Beauty Care
"LA FE GANDULES VERDES, GOYA BEANS","Black, Pink, Red, Pinto, Roman, or Garbanzo

15-15.5 Oz. Cans",5.00,,Produce
PEPSI,"Regular or Diet: Only
2 Ltr. Btls.",10.00,,Dairy
SMOKED PORK HOCKS,None,2.39,lb.,Meat & Seafood
FABULOSO LIQUID CLEANER,"Lemon or Lavender
16.9 Oz. Btls.",2.69,,Cleaning & Laundry
ARM & HAMMER LIQUID DETERGENT,"25-33 LOAD: Assorted Varieties

32.5.33 Oz. Btl.",3.99,,Household Needs
EL SOL MALTA,10 Pk. 7 Oz. Btls.,5.99,,Snacks & Beverage
DANIMALS YOGURT DRINKS,"Assorted Varieties

6 Pk. 3.1 Oz. Btls.",3.99,,Dairy
Smithfield SMOKED PORK CHOPS,"Bone-In
17.06 oz. Pkg.",7.99,,Meat & Seafood
SMITHFIELD SMOKED SAUSAGE,"or Natural Casing: Polska Kielbasa

13 Oz. Pkg.",3.99,,Fresh Meat & Deli
CHICKEN BREAKFAST SAUSAGE LINKS,"FULLY COOKED: APPLE MAPLE OR COUNTRY STYLE

7.5 OZ. PKG.",3.99,,Fresh Meat & Deli
PREGO PASTA SAUCE,"Assorted Varieties

14.5-24 Oz. Jar",2.99,,Sauces and Spices
GOYA TOSTONES CHIPS,2 Oz. Pkg.,5.00,,Snacks & Beverage
BRUNSWICK SKINLESS/BONELESS SARDINES,In Olive Oil & Pepper or In Oil 4.4 oz. Boxes,1.99,,Snacks & Beverage
MALT-O-MEAL CEREAL FAMILY SIZE,"Assorted Varieties

21-30 Oz. Bag",4.99,,Grocery
PEPPERIDGE FARM LAYER CAKES,19.6 Oz. Boxes,5.99,,Snacks & Beverage
IHOP SYRUP,"Butter Pecan or Original

24 Oz. Btl.",5.49,,Grocery
GOLDEN BLOSSOM HONEY SQUEEZE BEAR,12 Oz. Btl.,5.99,,Grocery
Gorton's Panko Breaded Cod Fillets,Haddock or 14.6 Oz. Pkg.,8.99,,Bakery
SNOW'S CLAMS 6.5 Oz. Can,Clam Juice 8 Oz. Btl.; Minced or Chopped,2.69,,Meat & Seafood
CRYSTAL LIGHT DRINK MIX,"Makes 10-12 Qts.: Assorted Varieties
1.5-2.5 Oz. Cnstr.",3.99,,Dairy
GOYA CORN,"Cut Green Beans, Sliced Beets,
Mixed Vegetables or Whole Kernel

14.5-15.25 Oz. Can",1.39,,Canned Foods
KIKKOMAN SOY SAUCE,"or Teriyaki

10 Oz. Btl.",2.69,,Sauces and Spices
DONUT PEACHES,California 1 lb. Clamshell,3.99,,Produce
PIZZELLE,"Reko: Dulce De Leche, Lemon, Chocolate, Anise, or Vanilla 7 Oz. Pkg.",4.99,,Grocery
KRASDALE CHEDDAR CHEESE,"Mild, Sharp,
or New York Extra Sharp
16 Oz. Pkg.",3.99,,Dairy
ARMOUR PEAR SHAPED HAM,None,4.99,LB,Fresh Meat & Deli
INTERNATIONAL DELIGHT COFFEE CREAMER,"Assorted Varieties
1 Qt. Btl.",4.99,,Dairy
GIORGIO WHOLE BABY BELLA MUSHROOMS,8 Oz. Pkg.,3.99,,Produce
